operation,matrix_cartesian,translation_fractional_lower_cell,operation_rms_3d_angstrom,operation_rms_inplane_angstrom,lower_primitive_index,upper_primitive_index,species,residual_x_angstrom,residual_y_angstrom,residual_z_angstrom,residual_distance_angstrom
identity_translation_only,"[[1.0,0.0,0.0],[0.0,1.0,0.0],[0.0,0.0,1.0]]","[0.7499998245614036,0.367371228070175,0.0]",0.5105963276009483,0.5100364468066104,0,0,Sn,-1.4639605257890238e-06,-0.5100364468045089,-0.02679567800002447,0.5107398412407169
identity_translation_only,"[[1.0,0.0,0.0],[0.0,1.0,0.0],[0.0,0.0,1.0]]","[0.7499998245614036,0.367371228070175,0.0]",0.5105963276009483,0.5100364468066104,1,1,Se,1.4639605271786748e-06,0.5100364468045091,-0.0206120600000137,0.5104527736123649
identity_translation_only,"[[1.0,0.0,0.0],[0.0,1.0,0.0],[0.0,0.0,1.0]]","[0.7499998245614036,0.367371228070175,0.0]",0.5105963276009483,0.5100364468066104,2,2,Se,1.4639605243993729e-06,0.5100364468045102,0.0206120600000137,0.510452773612366
identity_translation_only,"[[1.0,0.0,0.0],[0.0,1.0,0.0],[0.0,0.0,1.0]]","[0.7499998245614036,0.367371228070175,0.0]",0.5105963276009483,0.5100364468066104,3,3,Sn,-1.4639605257890238e-06,-0.5100364468045095,0.02679567800002447,0.5107398412407176
x_reflection,"[[-1.0,0.0,0.0],[0.0,1.0,0.0],[0.0,0.0,1.0]]","[0.2500001754385961,0.367371228070175,0.0]",0.5105963276009483,0.5100364468066104,0,0,Sn,1.4639605248625898e-06,-0.5100364468045089,-0.02679567800002447,0.5107398412407169
x_reflection,"[[-1.0,0.0,0.0],[0.0,1.0,0.0],[0.0,0.0,1.0]]","[0.2500001754385961,0.367371228070175,0.0]",0.5105963276009483,0.5100364468066104,1,1,Se,-1.4639605256938637e-06,0.5100364468045091,-0.0206120600000137,0.5104527736123649
x_reflection,"[[-1.0,0.0,0.0],[0.0,1.0,0.0],[0.0,0.0,1.0]]","[0.2500001754385961,0.367371228070175,0.0]",0.5105963276009483,0.5100364468066104,2,2,Se,-1.4639605262522407e-06,0.5100364468045102,0.0206120600000137,0.510452773612366
x_reflection,"[[-1.0,0.0,0.0],[0.0,1.0,0.0],[0.0,0.0,1.0]]","[0.2500001754385961,0.367371228070175,0.0]",0.5105963276009483,0.5100364468066104,3,3,Sn,1.4639605274702205e-06,-0.5100364468045095,0.02679567800002447,0.5107398412407176
y_reflection,"[[1.0,0.0,0.0],[0.0,-1.0,0.0],[0.0,0.0,1.0]]","[0.7499998245614036,0.499998771929824,0.0]",0.023904660859219135,1.1060366332155951e-05,0,0,Sn,-1.4639605257890238e-06,-1.0963052630111952e-05,-0.02679567800002447,0.026795680282700393
y_reflection,"[[1.0,0.0,0.0],[0.0,-1.0,0.0],[0.0,0.0,1.0]]","[0.7499998245614036,0.499998771929824,0.0]",0.023904660859219135,1.1060366332155951e-05,1,1,Se,1.4639605271786748e-06,1.0963052630597046e-05,-0.0206120600000137,0.020612062967492316
y_reflection,"[[1.0,0.0,0.0],[0.0,-1.0,0.0],[0.0,0.0,1.0]]","[0.7499998245614036,0.499998771929824,0.0]",0.023904660859219135,1.1060366332155951e-05,2,2,Se,1.4639605243993729e-06,1.0963052631598605e-05,0.0206120600000137,0.020612062967492316
y_reflection,"[[1.0,0.0,0.0],[0.0,-1.0,0.0],[0.0,0.0,1.0]]","[0.7499998245614036,0.499998771929824,0.0]",0.023904660859219135,1.1060366332155951e-05,3,3,Sn,-1.4639605257890238e-06,-1.0963052629930914e-05,0.02679567800002447,0.026795680282700393
c2_z,"[[-1.0,0.0,0.0],[0.0,-1.0,0.0],[0.0,0.0,1.0]]","[0.25000017543859615,0.4999987719298242,0.0]",0.023904660859219135,1.1060366332193105e-05,0,0,Sn,1.4639605248625898e-06,-1.0963052631103053e-05,-0.02679567800002447,0.026795680282700393
c2_z,"[[-1.0,0.0,0.0],[0.0,-1.0,0.0],[0.0,0.0,1.0]]","[0.25000017543859615,0.4999987719298242,0.0]",0.023904660859219135,1.1060366332193105e-05,1,1,Se,-1.4639605259159083e-06,1.096305262970887e-05,-0.0206120600000137,0.020612062967492316
c2_z,"[[-1.0,0.0,0.0],[0.0,-1.0,0.0],[0.0,0.0,1.0]]","[0.25000017543859615,0.4999987719298242,0.0]",0.023904660859219135,1.1060366332193105e-05,2,2,Se,-1.4639605262522407e-06,1.0963052630607502e-05,0.0206120600000137,0.020612062967492316
c2_z,"[[-1.0,0.0,0.0],[0.0,-1.0,0.0],[0.0,0.0,1.0]]","[0.25000017543859615,0.4999987719298242,0.0]",0.023904660859219135,1.1060366332193105e-05,3,3,Sn,1.463960527248176e-06,-1.0963052630819092e-05,0.02679567800002447,0.026795680282700393
