case,poscar_atom_index_1based,layer,layer_atom_index_0based,species,corresponding_lower_primitive_index,upper_to_lower_orientation_operation,fractional_a,fractional_b,fractional_c
registry_ix00_iy00_n3x3,1,lower,0,Sn,0,identity,0.49999999999999956,0.8765499999999999,0.4281364513741893
registry_ix00_iy00_n3x3,2,lower,3,Sn,3,identity,0.0,0.3765499999999999,0.32957325119556796
registry_ix00_iy00_n3x3,3,upper,0,Sn,0,y_reflection,0.5000003508771926,0.12344754385964951,0.6713086810774179
registry_ix00_iy00_n3x3,4,upper,3,Sn,3,y_reflection,3.5087719285620267e-07,0.6234475438596496,0.5709816163528253
registry_ix00_iy00_n3x3,5,lower,1,Se,1,identity,0.0,0.49081999999999915,0.4169572329468508
registry_ix00_iy00_n3x3,6,lower,2,Se,2,identity,0.49999999999999956,0.9908199999999995,0.3407524696229065
registry_ix00_iy00_n3x3,7,upper,1,Se,1,y_reflection,0.9999996491228068,0.5091824561403515,0.6599259398178517
registry_ix00_iy00_n3x3,8,upper,2,Se,2,y_reflection,0.49999964912280714,0.00918245614035149,0.5823643576123915
registry_ix00_iy01_n3x3,1,lower,0,Sn,0,identity,0.49999999999999956,0.8765499999999999,0.4281364513741893
registry_ix00_iy01_n3x3,2,lower,3,Sn,3,identity,0.0,0.3765499999999999,0.32957325119556796
registry_ix00_iy01_n3x3,3,upper,0,Sn,0,y_reflection,0.5000003508771926,0.4567808771929829,0.6713086810774179
registry_ix00_iy01_n3x3,4,upper,3,Sn,3,y_reflection,3.5087719285620267e-07,0.956780877192983,0.5709816163528253
registry_ix00_iy01_n3x3,5,lower,1,Se,1,identity,0.0,0.49081999999999915,0.4169572329468508
registry_ix00_iy01_n3x3,6,lower,2,Se,2,identity,0.49999999999999956,0.9908199999999995,0.3407524696229065
registry_ix00_iy01_n3x3,7,upper,1,Se,1,y_reflection,0.9999996491228068,0.8425157894736848,0.6599259398178517
registry_ix00_iy01_n3x3,8,upper,2,Se,2,y_reflection,0.49999964912280714,0.3425157894736847,0.5823643576123915
registry_ix00_iy02_n3x3,1,lower,0,Sn,0,identity,0.49999999999999956,0.8765499999999999,0.4281364513741893
registry_ix00_iy02_n3x3,2,lower,3,Sn,3,identity,0.0,0.3765499999999999,0.32957325119556796
registry_ix00_iy02_n3x3,3,upper,0,Sn,0,y_reflection,0.5000003508771926,0.7901142105263161,0.6713086810774179
registry_ix00_iy02_n3x3,4,upper,3,Sn,3,y_reflection,3.5087719285620267e-07,0.29011421052631614,0.5709816163528253
registry_ix00_iy02_n3x3,5,lower,1,Se,1,identity,0.0,0.49081999999999915,0.4169572329468508
registry_ix00_iy02_n3x3,6,lower,2,Se,2,identity,0.49999999999999956,0.9908199999999995,0.3407524696229065
registry_ix00_iy02_n3x3,7,upper,1,Se,1,y_reflection,0.9999996491228068,0.175849122807018,0.6599259398178517
registry_ix00_iy02_n3x3,8,upper,2,Se,2,y_reflection,0.49999964912280714,0.6758491228070181,0.5823643576123915
registry_ix01_iy00_n3x3,1,lower,0,Sn,0,identity,0.49999999999999956,0.8765499999999999,0.4281364513741893
registry_ix01_iy00_n3x3,2,lower,3,Sn,3,identity,0.0,0.3765499999999999,0.32957325119556796
registry_ix01_iy00_n3x3,3,upper,0,Sn,0,y_reflection,0.8333336842105258,0.12344754385964951,0.6713086810774179
registry_ix01_iy00_n3x3,4,upper,3,Sn,3,y_reflection,0.33333368421052617,0.6234475438596496,0.5709816163528253
registry_ix01_iy00_n3x3,5,lower,1,Se,1,identity,0.0,0.49081999999999915,0.4169572329468508
registry_ix01_iy00_n3x3,6,lower,2,Se,2,identity,0.49999999999999956,0.9908199999999995,0.3407524696229065
